id_UI,id_commerce,id_activite,id_lieux,label
32,1295,98,4418,
16,1781,99,4414,
56,1835,98,3515,
52,2764,11,6151,
5,2930,11,2729,
28,3442,98,4414,
16,3481,98,1680,
42,3520,99,4416,
14,3977,1,999,
9,4070,45,6122,
55,4409,12,4420,
18,4438,99,5999,
5,5045,98,3444,
57,5173,98,4415,
6,5727,99,5826,
35,6012,99,5314,
2,7077,101,1714,
16,7831,98,5753,
10,7933,99,4416,
33,9837,11,6072,
24,10091,99,757,
33,10290,22,5008,
34,10434,71,1557,
24,10743,71,1489,
62,10809,71,1902,
7,11273,98,6860,
7,12169,98,6283,
12,12984,98,5766,
8,13535,18,4429,
51,14323,11,528,
57,15573,98,4413,
1,15945,98,4042,
14,16050,98,1178,
52,16146,98,4331,
7,16363,98,4426,
24,16822,66,2940,
40,17004,98,4042,
34,17202,46,6692,
6,17356,99,4611,
61,18646,12,389,
2,18700,98,3775,
17,19235,98,1231,
50,20095,98,3343,
3,21465,99,2207,
60,21504,98,4416,
32,21593,99,4412,
34,21918,71,4958,
62,22297,11,1996,
48,22505,71,4720,
9,23746,45,3518,
16,24106,11,4417,
55,24218,22,4418,
33,24792,98,6631,
47,24855,98,4227,
